label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
108,23345348.0,6510984.0,7545953.0,1738589.0,13154146.0,9969253.0,4150680.0,4324627.0,6331039.0,2304982.0,746385.0,1027778.0
109,24121910.0,6743584.0,8147261.0,587381.0,9052738.0,1077315.0,2719574.0,2659546.0,7319359.0,4620047.0,4997195.0,1845340.0
110,19369820.0,5271502.0,6153501.0,216120.0,5653180.0,1438444.0,1981124.0,2761417.0,7046392.0,2514323.0,4908543.0,752745.0
111,25550491.0,6679715.0,7687983.0,632512.0,7383845.0,2171792.0,4576142.0,4653580.0,4908114.0,2918433.0,1100253.0,1184269.0
112,26677492.0,6490358.0,7332279.0,505582.0,8957486.0,2035904.0,2618428.0,3073598.0,8688735.0,6150106.0,7703452.0,1167606.0
113,25598561.0,7059282.0,8875853.0,1017098.0,11806784.0,1160411.0,2403025.0,3330747.0,10394351.0,5450751.0,9107751.0,1315724.0
114,22380294.0,7021348.0,8703985.0,946569.0,8482805.0,5930691.0,3203216.0,4091020.0,5235688.0,2700879.0,944640.0,1008246.0
115,24960324.0,7303232.0,9037808.0,664243.0,7639123.0,799687.0,2303513.0,3576442.0,5111735.0,2921579.0,1236790.0,1217774.0
116,20945035.0,6501844.0,7539500.0,603241.0,7964514.0,1754573.0,2814749.0,3040619.0,8174916.0,3029189.0,1409850.0,1641237.0
117,23864142.0,6476869.0,7313679.0,534603.0,8549506.0,7147092.0,2952856.0,3994177.0,7366609.0,2598257.0,752480.0,917711.0
118,19482256.0,5874458.0,6826809.0,578096.0,7162772.0,1680747.0,2413022.0,3263090.0,5251246.0,2372524.0,2103877.0,1032386.0
119,24323860.0,6485188.0,7439879.0,280978.0,6652853.0,1642664.0,2532242.0,3171734.0,6413319.0,4222009.0,1330747.0,929485.0
120,25158222.0,6796749.0,7767536.0,2936194.0,7524199.0,2392150.0,2551009.0,3150179.0,4744515.0,2779361.0,1161913.0,1749643.0
121,21345697.0,6406205.0,7380633.0,635840.0,7223157.0,1422755.0,2385260.0,2886270.0,5250225.0,3458002.0,4430023.0,1586597.0
122,15684879.0,4366447.0,5385885.0,3346553.0,4775226.0,1447569.0,1581791.0,1768490.0,2821381.0,2438414.0,548875.0,1167548.0
