label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
227,31952930.0,6436157.0,8359415.0,47833.0,8934881.0,1585448.0,3150571.0,3589354.0,6824873.0,3436019.0,1034182.0,977980.0
228,69312525.0,19902492.0,24477505.0,1670038.0,23900393.0,4445560.0,6976950.0,9335942.0,22784051.0,11595979.0,4140672.0,2513453.0
229,87431648.0,17938736.0,22927113.0,1891542.0,20740723.0,6969216.0,8320640.0,8685321.0,16146886.0,7393719.0,4099717.0,3093012.0
230,57600235.0,12664474.0,16758864.0,1335616.0,19563286.0,7300189.0,5512655.0,6624689.0,11410926.0,5833112.0,2194424.0,2600524.0
231,72451378.0,19232191.0,23218288.0,1059918.0,22778893.0,4513414.0,7335790.0,8661458.0,18866495.0,12974331.0,3401261.0,2829616.0
232,41774560.0,9305245.0,11625834.0,1265482.0,11655247.0,3088122.0,4391531.0,4655176.0,9469386.0,4150284.0,1922587.0,1482071.0
233,64475817.0,18998928.0,22358498.0,1773620.0,20026331.0,5432551.0,7293491.0,11058947.0,14611841.0,8221229.0,4632938.0,3404016.0
234,53503060.0,14952959.0,16847438.0,1395211.0,16054722.0,4294771.0,5510785.0,7047293.0,10720671.0,6460121.0,2294009.0,2535659.0
235,66951310.0,19932964.0,24878573.0,1798919.0,21359804.0,4344334.0,6891155.0,9382929.0,20598637.0,9362493.0,4008216.0,3215923.0
236,25859403.0,6284897.0,7670691.0,8833835.0,6474367.0,1542963.0,2368447.0,2897090.0,5952268.0,3950140.0,1650014.0,1058196.0
237,39544417.0,9844288.0,12184369.0,1552832.0,13054219.0,2373007.0,3624029.0,4328295.0,13388334.0,5672024.0,4553393.0,1360294.0
